,,,A sheet to understand how different savings plans would have worked out over the last four years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Input that you can modify is marked in blue,,Output that you should not modify is marked in green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SXR8/Month (the S&P500), 50.00,,Monthly investment,400.00,,Total invested,"€20,706.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EUNH/Month (Bonds of European Governments), 150.00,,Yearly investment,4 800.00,,Total earned,"€1,520.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SXRT/Month (the EuroStoxx 50), 50.00,,Average Interest rate,2.68%,,Final interest rate,3.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBCS/Month (Bonds of big European companies), 150.00,,Variation of interest rate,1.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IUS7/Month (Bonds of emerging market countries),-,,Average/ Variation,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fee/Buy,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaufdatum,20-Apr-2016,10-May-2016,3-Jun-2016,5-Jul-2016,3-Aug-2016,5-Sep-2016,6-Oct-2016,2-Nov-2016,2-Dec-2016,6-Jan-2017,6-Feb-2017,6-Mar-2017,6-Apr-2017,5-May-2017,6-Jun-2017,6-Jul-2017,4-Aug-2017,6-Sep-2017,5-Oct-2017,6-Nov-2017,17-Jan-2018,15-Feb-2018,16-Mar-2018,18-Apr-2018,18-May-2018,18-Jun-2018,17-Jul-2018,17-Aug-2018,18-Sep-2018,5-Oct-2018,16-Oct-2018,5-Nov-2018,5-Dec-2018,5-Jan-2019,5-Feb-2019,5-Mar-2019,5-Apr-2019,4-May-2019,5-Jun-2019,5-Jul-2019,5-Aug-2019,5-Sep-2019,5-Oct-2019,5-Nov-2019,5-Dec-2019,7-Jan-2020,5-Feb-2020,5-Mar-2020,6-Apr-2020,5-May-2020,5-Jun-2020,5-Jul-2020
Total value,€400.00,€797.16,"€1,206.75","€1,609.00","€2,035.33","€2,437.85","€2,831.19","€3,201.84","€3,607.07","€4,092.00","€4,414.95","€4,914.94","€5,313.89","€5,747.56","€6,160.82","€6,505.69","€6,919.51","€7,323.58","€7,775.87","€8,298.05","€8,635.12","€8,892.09","€9,363.46","€9,767.81","€10,255.70","€10,710.22","€11,098.75","€11,519.73","€11,856.17","€12,205.32","€12,415.25","€12,869.60","€13,242.15","€13,489.18","€14,205.28","€14,795.89","€15,487.09","€15,978.75","€16,345.41","€17,328.05","€17,644.41","€18,320.46","€18,660.68","€19,151.74","€19,541.56","€20,144.92","€20,736.93","€20,555.57","€19,486.63","€20,513.55","€21,644.57","€22,227.09"
Total earnings,-€3.00,-€8.84,-€2.25,-€2.37,€23.17,€22.68,€15.39,-€16.97,-€14.74,€70.94,-€3.97,€93.02,€93.84,€124.50,€134.76,€82.89,€101.25,€102.32,€158.91,€278.09,€220.05,€85.77,€154.14,€155.49,€240.38,€299.58,€285.11,€311.68,€245.12,€199.56,€6.49,€57.84,€27.39,-€115.49,€214.65,€402.26,€705.55,€794.21,€757.88,"€1,352.13","€1,286.92","€1,559.97","€1,512.44","€1,600.49","€1,587.31","€1,803.48","€2,013.59","€1,429.22",-€27.46,€596.46,"€1,324.49","€1,520.79"
IRR,,-33.28%,-2.95%,-1.30%,7.72%,4.70%,2.23%,-1.87%,-1.26%,4.73%,-0.21%,4.27%,3.62%,4.14%,3.85%,2.07%,2.24%,1.99%,2.78%,4.35%,2.76%,0.99%,1.65%,1.53%,2.18%,2.52%,2.24%,2.28%,1.68%,1.32%,0.04%,0.36%,0.16%,-0.63%,1.10%,1.94%,3.19%,3.40%,3.07%,5.14%,4.65%,5.33%,4.93%,4.97%,4.71%,5.08%,5.42%,3.74%,-0.07%,1.46%,3.07%,3.37%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Go BD,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€7.83,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€5.89,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€17.04,€0.00,€0.00,€0.00,€0.00,€0.00,€21.43,€0.00,€0.00,€0.00,€0.00,€0.00,€21.10,€0.00,€0.00,€0.00,€0.00,€0.00
Interest Co BD,0,€0.00,€0.00,€0.63,€2.20,€0.00,€2.36,€0.00,€0.00,€3.74,€5.14,€0.00,€4.87,€0.00,€0.00,€6.25,€7.55,€0.00,€7.30,€0.00,€7.89,€11.74,€0.00,€0.00,€0.00,€7.68,€0.00,€8.60,€0.00,€8.28,€0.00,€0.00,€0.00,€13.09,€0.00,€0.00,€15.09,€0.00,€0.00,€14.62,€0.00,€0.00,€15.24,€0.00,€0.00,€15.81,€0.00,€0.00,€15.26,€0.00,€0.00,€16.79
Interest EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
SXR8 (S&P500), 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00
EUNH (Go-Bd), 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00
SXRT STOXX 50), 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00
IBCS (Co-Bd), 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00, 150.00
IUS7 (EM-Bd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
